                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x76e4cfb91010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-08 10:38:41 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-08 10:39:54      2646    2840   -2730   -16      287.67  0      -1      0
2025-11-08 10:39:56      2716    2842   -2734   -16      333.54  0      -1      0
2025-11-08 10:39:57      2751    2947   -2683   -21      2.94    0      -1      0
2025-11-08 10:39:58      2786    2938   -2709   -24      265.30  -1     -3      0
2025-11-08 10:39:59      2821    2935   -2774   -24      278.61  0      -1      0
2025-11-08 10:40:00      2856    2946   -2817   -24      295.22  0      -2      0
2025-11-08 10:40:01      2891    2989   -3105   -24      307.66  -1     -7      0
2025-11-08 10:40:02      2926    3070   -3328   -24      297.33  6      -13     0
2025-11-08 10:40:03      2961    2988   -3786   -24      268.64  -5     -14     0
2025-11-08 10:40:04      2996    3002   -4000   -24      280.90  0      -1      0
2025-11-08 10:40:05      3034    3000   -4051   -24      273.08  0      -3      0
2025-11-08 10:40:06      3069    3000   -4060   -24      273.03  -1     0       0
2025-11-08 10:40:08      3132    2997   -4016   -24      250.49  -1     1       0
2025-11-08 10:40:09      3173    2996   -4013   -24      260.95  -1     -6      0
2025-11-08 10:40:10      3208    2934   -4293   -24      287.89  -1     -3      0
2025-11-08 10:40:11      3243    3108   -4334   -24      245.52  4      -1      0
2025-11-08 10:40:12      3278    2951   -4493   -24      288.28  -3     -7      0
2025-11-08 10:40:14      3345    3023   -4646   -24      294.08  0      -7      0
2025-11-08 10:40:15      3380    3087   -4842   -24      156.58  -1     0       0
2025-11-08 10:40:16      3415    2976   -4789   -24      88.46   6      7       0
2025-11-08 10:40:17      3450    2961   -4806   -24      207.99  -7     -10     0
2025-11-08 10:40:18      3486    2970   -4689   -24      166.99  -4     0       0
2025-11-08 10:40:19      3521    2933   -4689   -24      225.00  -1     -1      0
2025-11-08 10:40:32      3927    -35    -152    24       140.54  0      5       0
2025-11-08 10:40:33      3962    -328   54      24       142.16  -12    8       0
