                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7e60dd6de010, 2000000 allocated for zone
Using /home/silver/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/silver/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-05 20:58:36 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-05 20:59:43	 2426	 1294	-3411	0	 94.44	 -1	-2 	0
2025-11-05 20:59:44	 2461	 1123	-3632	0	 59.81	 -6	-2 	0
2025-11-05 20:59:45	 2496	 1050	-3653	0	 46.45	 4	4 	0
2025-11-05 20:59:46	 2531	 1267	-3434	0	 43.11	 7	7 	0
2025-11-05 20:59:47	 2566	 1314	-3291	-16	 30.06	 -6	-2 	0
2025-11-05 20:59:48	 2601	 1107	-3352	-8	 161.24	 -10	2 	0
2025-11-05 20:59:49	 2636	 743	-3276	0	 177.41	 -8	0 	0
2025-11-05 20:59:50	 2671	 286	-3233	24	 181.93	 -9	0 	0
2025-11-05 20:59:51	 2706	 279	-3138	40	 300.85	 -2	11 	0
2025-11-05 20:59:52	 2741	 384	-3302	-8	 295.44	 5	-10 	0
2025-11-05 20:59:53	 2776	 336	-3388	-8	 198.90	 -2	-1 	0
2025-11-05 20:59:54	 2811	 250	-3433	-8	 164.79	 -5	0 	0
2025-11-05 20:59:55	 2846	 127	-3360	-8	 28.30	 6	3 	0
2025-11-05 20:59:56	 2881	 365	-3273	-8	 59.63	 10	5 	0
2025-11-05 20:59:57	 2916	 464	-3134	-8	 113.47	 -4	8 	0
2025-11-05 20:59:58	 2951	 319	-3025	-8	 184.57	 -7	-1 	0
2025-11-05 20:59:59	 2986	 100	-3096	-8	 334.78	 1	-3 	0
2025-11-05 21:00:00	 3021	 256	-3165	-8	 339.21	 4	-3 	0
2025-11-05 21:00:01	 3056	 348	-3253	-8	 172.66	 -6	-1 	0
2025-11-05 21:00:02	 3091	 -7	-3211	104	 170.42	 -13	2 	0
2025-11-05 21:00:03	 3126	 -258	-3224	128	 355.12	 -2	-3 	0
2025-11-05 21:00:04	 3161	 -191	-3243	128	 359.34	 2	-1 	0
2025-11-05 21:00:05	 3196	 16	-3239	104	 2.68	 6	0 	0
2025-11-05 21:00:06	 3231	 42	-3314	104	 178.20	 -8	-1 	0
2025-11-05 21:00:07	 3266	 -184	-3291	104	 127.75	 -2	0 	0
2025-11-05 21:00:08	 3301	 -221	-3242	128	 4.44	 -2	-1 	0
