jp@jp-MS-7C91:~/Documents/trajectory_doom-main/chocolate-doom$ src/chocolate-doom -iwad ../misc/OriginalWADs/DOOM.WAD
                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x746ace144010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 16:28:47 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-10 16:30:14      3104    -1968  -3009   64       61.17   0      2       0
2025-11-10 16:30:15      3139    -1949  -2931   64       73.48   0      0       0
2025-11-10 16:30:25      3495    -1930  -2886   64       66.45   2      6       0
2025-11-10 16:30:26      3530    -1791  -2565   64       43.59   1      2       0
2025-11-10 16:30:27      3568    -1665  -2509   64       27.77   -3     -2      0
2025-11-10 16:30:28      3603    -1756  -2568   64       356.13  5      -1      0
2025-11-10 16:30:29      3638    -1669  -2556   64       310.43  -5     3       0
2025-11-10 16:30:30      3673    -1799  -2576   64       240.12  -7     -11     0
2025-11-10 16:30:31      3708    -1925  -2830   64       357.89  -7     0       0
2025-11-10 16:30:32      3743    -1926  -2822   64       11.95   0      0       0
2025-11-10 16:30:33      3778    -1809  -2797   64       275.27  0      -5      0
2025-11-10 16:30:34      3813    -1954  -3024   64       336.80  2      -4      0
2025-11-10 16:30:35      3848    -1679  -3115   64       54.14   12     6       0
2025-11-10 16:30:36      3883    -1482  -2959   64       315.70  3      -2      0
2025-11-10 16:30:37      3918    -1233  -3104   64       71.72   9      6       0
2025-11-10 16:30:38      3953    -1172  -2707   64       94.57   -6     6       0
2025-11-10 16:30:39      3988    -1200  -2595   64       115.66  0      0       0
2025-11-10 16:30:40      4023    -1234  -2474   64       36.56   4      9       0
2025-11-10 16:30:41      4058    -1166  -2436   64       163.12  -4     1       0
2025-11-10 16:30:42      4093    -1183  -2493   64       333.63  6      -9      0
2025-11-10 16:30:43      4128    -1110  -2853   64       300.23  -1     -16     0
2025-11-10 16:30:44      4163    -1162  -3147   64       217.62  -11    -10     0
2025-11-10 16:30:45      4198    -1551  -3099   64       205.31  -15    -2      0
2025-11-10 16:30:46      4233    -1966  -2961   64       78.75   1      11      0
2025-11-10 16:30:47      4268    -1848  -2520   64       101.60  1      1       0
2025-11-10 16:30:48      4303    -1818  -2563   64       161.37  -2     0       0
2025-11-10 16:30:49      4338    -1863  -2547   64       175.43  -1     0       0
2025-11-10 16:30:50      4373    -2136  -2530   64       142.03  -7     0       0
2025-11-10 16:30:51      4408    -2147  -2618   64       64.69   1      2       0
2025-11-10 16:30:52      4443    -2128  -2595   64       54.14   0      1       0
2025-11-10 16:30:53      4478    -2107  -2556   64       41.84   -5     -4      0
2025-11-10 16:30:55      4548    -2151  -2628   64       52.38   3      4       0
2025-11-10 16:30:56      4583    -2118  -2484   64       85.78   -3     8       0
2025-11-10 16:30:57      4618    -2159  -2424   64       254.53  -7     -2      0
2025-11-10 16:30:58      4653    -2139  -2640   64       43.95   0      0       0
2025-11-10 16:30:59      4688    -2160  -2512   64       7.03    0      0       0
2025-11-10 16:31:00      4723    -1949  -2294   64       356.48  12     5       0
2025-11-10 16:31:01      4758    -1817  -2063   96       110.74  -5     13      0
2025-11-10 16:31:02      4793    -1948  -1792   96       116.02  -2     2       0
2025-11-10 16:31:03      4828    -1897  -1639   96       123.05  2      -3      0
2025-11-10 16:31:07      4972    -1846  -1629   96       86.13   -1     2       0
2025-11-10 16:31:08      5007    -1842  -1526   96       86.13   0      6       0
2025-11-10 16:31:09      5042    -1822  -1209   96       93.16   0      8       0
2025-11-10 16:31:10      5077    -1826  -1194   96       151.17  -6     7       0
2025-11-10 16:31:11      5112    -1827  -915    96       38.67   1      3       0
2025-11-10 16:31:12      5147    -1660  -769    96       33.40   6      5       0
2025-11-10 16:31:13      5182    -1668  -759    96       356.48  -2     -2      0
2025-11-10 16:31:14      5217    -1645  -772    96       351.21  -3     0       0
2025-11-10 16:31:15      5252    -1748  -754    96       303.75  -1     0       0
2025-11-10 16:31:16      5287    -1725  -760    96       7.03    0      -1      0
2025-11-10 16:31:23      5526    -1692  -767    96       300.23  0      -1      0
2025-11-10 16:31:24      5561    -1774  -943    96       252.77  -1     2       0
2025-11-10 16:31:25      5596    -1775  -921    96       356.48  -1     0       0
2025-11-10 16:31:26      5648    -1729  -798    96       19.34   0      0       0
2025-11-10 16:31:31      5792    -1733  -787    96       342.42  -1     0       0
2025-11-10 16:31:32      5827    -1681  -886    96       312.54  0      -2      0
2025-11-10 16:31:33      5887    -1682  -896    96       121.29  -2     2       0
2025-11-10 16:31:34      5922    -1757  -802    96       40.43   -1     0       0
2025-11-10 16:31:37      6032    -1724  -870    96       240.47  0      -11     0
2025-11-10 16:31:38      6067    -1790  -972    96       351.21  -2     1       0
2025-11-10 16:31:39      6102    -1697  -721    96       54.49   0      0       0
2025-11-10 16:31:40      6137    -1656  -724    96       352.97  2      -1      0
