Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
	You may need to run the program as root in order
	to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 18:52:11 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 18:54:46	 3676	 808	-3526	0	 91.32	 -5	0 	0
2025-11-10 18:54:47	 3711	 820	-3360	0	 110.65	 4	7 	0
2025-11-10 18:54:48	 3746	 694	-3189	0	 174.33	 -8	2 	0
2025-11-10 18:54:49	 3781	 460	-3203	-8	 176.22	 -8	-2 	0
2025-11-10 18:54:50	 3816	 378	-3179	-8	 89.25	 -1	5 	0
2025-11-10 18:54:51	 3851	 329	-3026	-8	 202.46	 1	-1 	0
2025-11-10 18:54:52	 3886	 400	-3025	-8	 226.05	 2	1 	0
2025-11-10 18:54:53	 3921	 338	-3065	-8	 203.07	 -1	-1 	0
2025-11-10 18:54:54	 3956	 432	-3027	-8	 229.17	 0	-1 	0
2025-11-10 18:54:55	 4002	 431	-3025	-8	 225.48	 1	1 	0
2025-11-10 18:54:57	 4042	 352	-3085	-8	 165.19	 -1	-1 	0
2025-11-10 18:54:58	 4077	 336	-3090	-8	 125.07	 0	0 	0
2025-11-10 18:54:59	 4112	 349	-3039	-8	 105.95	 0	6 	0
2025-11-10 18:55:00	 4147	 351	-3025	-8	 223.02	 1	0 	0
2025-11-10 18:55:01	 4182	 338	-3054	-8	 206.85	 1	0 	0
2025-11-10 18:55:02	 4217	 388	-3030	-8	 202.76	 0	0 	0
2025-11-10 18:55:03	 4252	 325	-3056	-8	 199.25	 1	0 	0
2025-11-10 18:55:04	 4287	 312	-3054	-8	 189.01	 -1	-1 	0
2025-11-10 18:55:05	 4322	 336	-3055	-8	 215.33	 3	-1 	0
2025-11-10 18:55:06	 4363	 398	-3033	-8	 172.66	 -5	-1 	0
2025-11-10 18:55:11	 4509	 399	-3025	-8	 200.79	 2	0 	0
2025-11-10 18:55:12	 4544	 435	-3037	-8	 210.01	 -3	-2 	0
2025-11-10 18:55:13	 4579	 409	-3064	-8	 191.60	 -1	-1 	0
2025-11-10 18:55:14	 4614	 384	-3064	-8	 166.64	 -5	0 	0
2025-11-10 18:55:15	 4649	 276	-3029	-8	 242.23	 -1	0 	0
2025-11-10 18:55:16	 4684	 257	-3025	-8	 287.89	 -1	0 	0
2025-11-10 18:55:17	 4719	 241	-3025	-8	 303.31	 -1	0 	0
2025-11-10 18:55:18	 4754	 259	-3043	-8	 303.31	 -2	2 	0
2025-11-10 18:55:19	 4789	 226	-3025	-8	 310.03	 -2	0 	0
2025-11-10 18:55:20	 4824	 270	-3056	-8	 317.46	 1	0 	0
2025-11-10 18:55:21	 4893	 271	-3025	-8	 281.60	 -1	-1 	0
